subject ID,age (months),gender,list,trial_number,trial_object,trial_modifier,intonation,modifier_type,probe_type,response
AP_20,61,M,A,31,hole,careless,declarative,grad+subj+neg,approve,0
AP_20,61,M,A,32,hole,careless,declarative,grad+subj+neg,mean,1
AP_20,61,M,A,33,hole,careless,declarative,grad+subj+neg,nice,3
AP_20,61,M,A,34,solution,bossy,sarcastic,grad+subj+neg,approve,1
AP_20,61,M,A,35,solution,bossy,sarcastic,grad+subj+neg,mean,0
AP_20,61,M,A,36,solution,bossy,sarcastic,grad+subj+neg,nice,2
AP_20,61,M,A,37,novel,fiction,declarative,–grad–subj,approve,1
AP_20,61,M,A,38,novel,fiction,declarative,–grad–subj,mean,1
AP_20,61,M,A,39,novel,fiction,declarative,–grad–subj,nice,3
AP_20,61,M,A,40,video,tiktok,sarcastic,–grad–subj,approve,1
AP_20,61,M,A,41,video,tiktok,sarcastic,–grad–subj,mean,1
AP_20,61,M,A,42,video,tiktok,sarcastic,–grad–subj,nice,1
AP_26,65,F,A,1,book,n/a,declarative,training1 neg,approve,1
AP_26,65,F,A,2,book,n/a,declarative,training1 neg,mean,0
AP_26,65,F,A,3,book,n/a,declarative,training1 neg,nice,1
AP_26,65,F,A,4,recital,n/a,declarative,training2 pos,approve,1
AP_26,65,F,A,5,recital,n/a,declarative,training2 pos,mean,0
AP_26,65,F,A,6,recital,n/a,declarative,training2 pos,nice,5
AP_26,65,F,A,7,cake,yummy,declarative,grad+subj+pos,approve,1
AP_26,65,F,A,8,cake,yummy,declarative,grad+subj+pos,mean,1
AP_26,65,F,A,9,cake,yummy,declarative,grad+subj+pos,nice,5
AP_26,65,F,A,10,gift,awesome,sarcastic,grad+subj+pos,approve,1
AP_26,65,F,A,11,gift,awesome,sarcastic,grad+subj+pos,mean,1
AP_26,65,F,A,12,gift,awesome,sarcastic,grad+subj+pos,nice,5
AP_26,65,F,A,13,bouquet,messy,declarative,grad+subj+neg,approve,1
AP_26,65,F,A,14,bouquet,messy,declarative,grad+subj+neg,mean,1
AP_26,65,F,A,15,bouquet,messy,declarative,grad+subj+neg,nice,5
AP_26,65,F,A,16,question,silly,sarcastic,grad+subj+neg,approve,1
AP_26,65,F,A,17,question,silly,sarcastic,grad+subj+neg,mean,1
AP_26,65,F,A,18,question,silly,sarcastic,grad+subj+neg,nice,5
AP_26,65,F,A,19,dish,lobster,declarative,–grad–subj,approve,0
AP_26,65,F,A,20,dish,lobster,declarative,–grad–subj,mean,1
AP_26,65,F,A,21,dish,lobster,declarative,–grad–subj,nice,5
AP_26,65,F,A,22,shirt,spotted,sarcastic,–grad–subj,approve,1
AP_26,65,F,A,23,shirt,spotted,sarcastic,–grad–subj,mean,1
AP_26,65,F,A,24,shirt,spotted,sarcastic,–grad–subj,nice,5
AP_26,65,F,A,25,story,funny,declarative,grad+subj+pos,approve,1
AP_26,65,F,A,26,story,funny,declarative,grad+subj+pos,mean,1
AP_26,65,F,A,27,story,funny,declarative,grad+subj+pos,nice,5
AP_26,65,F,A,28,tool,useful,sarcastic,grad+subj+pos,approve,1
AP_26,65,F,A,29,tool,useful,sarcastic,grad+subj+pos,mean,1
AP_26,65,F,A,30,tool,useful,sarcastic,grad+subj+pos,nice,5
AP_26,65,F,A,31,hole,careless,declarative,grad+subj+neg,approve,1
AP_26,65,F,A,32,hole,careless,declarative,grad+subj+neg,mean,1
AP_26,65,F,A,33,hole,careless,declarative,grad+subj+neg,nice,5
AP_26,65,F,A,34,solution,bossy,sarcastic,grad+subj+neg,approve,0
AP_26,65,F,A,35,solution,bossy,sarcastic,grad+subj+neg,mean,1
AP_26,65,F,A,36,solution,bossy,sarcastic,grad+subj+neg,nice,5
AP_26,65,F,A,37,novel,fiction,declarative,–grad–subj,approve,1
AP_26,65,F,A,38,novel,fiction,declarative,–grad–subj,mean,1
AP_26,65,F,A,39,novel,fiction,declarative,–grad–subj,nice,5
AP_26,65,F,A,40,video,tiktok,sarcastic,–grad–subj,approve,1
AP_26,65,F,A,41,video,tiktok,sarcastic,–grad–subj,mean,1
AP_26,65,F,A,42,video,tiktok,sarcastic,–grad–subj,nice,5
AP_02,69,F,B,1,book,n/a,declarative,training1 neg,approve,0
AP_02,69,F,B,2,book,n/a,declarative,training1 neg,mean,1
AP_02,69,F,B,3,book,n/a,declarative,training1 neg,nice,1
AP_02,69,F,B,4,recital,n/a,declarative,training2 pos,approve,1
AP_02,69,F,B,5,recital,n/a,declarative,training2 pos,mean,1
AP_02,69,F,B,6,recital,n/a,declarative,training2 pos,nice,5
AP_02,69,F,B,7,cake,yummy,sarcastic,grad+subj+pos,approve,1
AP_02,69,F,B,8,cake,yummy,sarcastic,grad+subj+pos,mean,1
AP_02,69,F,B,9,cake,yummy,sarcastic,grad+subj+pos,nice,5
AP_02,69,F,B,10,gift,awful,declarative,grad+subj+neg,approve,0
AP_02,69,F,B,11,gift,awful,declarative,grad+subj+neg,mean,0
AP_02,69,F,B,12,gift,awful,declarative,grad+subj+neg,nice,1
AP_02,69,F,B,13,bouquet,messy,sarcastic,grad+subj+neg,approve,0
AP_02,69,F,B,14,bouquet,messy,sarcastic,grad+subj+neg,mean,0
AP_02,69,F,B,15,bouquet,messy,sarcastic,grad+subj+neg,nice,2
AP_02,69,F,B,16,question,review,declarative,–grad–subj,approve,1
AP_02,69,F,B,17,question,review,declarative,–grad–subj,mean,1
AP_02,69,F,B,18,question,review,declarative,–grad–subj,nice,5
AP_02,69,F,B,19,dish,lobster,sarcastic,–grad–subj,approve,0
AP_02,69,F,B,20,dish,lobster,sarcastic,–grad–subj,mean,0
AP_02,69,F,B,21,dish,lobster,sarcastic,–grad–subj,nice,1
AP_02,69,F,B,22,shirt,lovely,declarative,grad+subj+pos,approve,1
AP_02,69,F,B,23,shirt,lovely,declarative,grad+subj+pos,mean,1
AP_02,69,F,B,24,shirt,lovely,declarative,grad+subj+pos,nice,5
AP_02,69,F,B,25,story,funny,sarcastic,grad+subj+pos,approve,1
AP_02,69,F,B,26,story,funny,sarcastic,grad+subj+pos,mean,1
AP_02,69,F,B,27,story,funny,sarcastic,grad+subj+pos,nice,2
AP_02,69,F,B,28,tool,useless,declarative,grad+subj+neg,approve,0
AP_02,69,F,B,29,tool,useless,declarative,grad+subj+neg,mean,0
AP_02,69,F,B,30,tool,useless,declarative,grad+subj+neg,nice,5
AP_02,69,F,B,31,hole,careless,sarcastic,grad+subj+neg,approve,0
AP_02,69,F,B,32,hole,careless,sarcastic,grad+subj+neg,mean,0
AP_02,69,F,B,33,hole,careless,sarcastic,grad+subj+neg,nice,2
AP_02,69,F,B,34,solution,partial,declarative,–grad–subj,approve,1
AP_02,69,F,B,35,solution,partial,declarative,–grad–subj,mean,1
AP_02,69,F,B,36,solution,partial,declarative,–grad–subj,nice,5
AP_02,69,F,B,37,novel,fiction,sarcastic,–grad–subj,approve,0
AP_02,69,F,B,38,novel,fiction,sarcastic,–grad–subj,mean,0
AP_02,69,F,B,39,novel,fiction,sarcastic,–grad–subj,nice,4
AP_02,69,F,B,40,video,witty,declarative,grad+subj+pos,approve,1
AP_02,69,F,B,41,video,witty,declarative,grad+subj+pos,mean,1
AP_02,69,F,B,42,video,witty,declarative,grad+subj+pos,nice,2
AP_10,67,M,B,1,book,n/a,declarative,training1 neg,approve,0
AP_10,67,M,B,2,book,n/a,declarative,training1 neg,mean,0
AP_10,67,M,B,3,book,n/a,declarative,training1 neg,nice,1
AP_10,67,M,B,4,recital,n/a,declarative,training2 pos,approve,1
AP_10,67,M,B,5,recital,n/a,declarative,training2 pos,mean,1
AP_10,67,M,B,6,recital,n/a,declarative,training2 pos,nice,5
AP_10,67,M,B,7,cake,yummy,sarcastic,grad+subj+pos,approve,1
AP_10,67,M,B,8,cake,yummy,sarcastic,grad+subj+pos,mean,1
AP_10,67,M,B,9,cake,yummy,sarcastic,grad+subj+pos,nice,4
AP_10,67,M,B,10,gift,awful,declarative,grad+subj+neg,approve,0
AP_10,67,M,B,11,gift,awful,declarative,grad+subj+neg,mean,0
AP_10,67,M,B,12,gift,awful,declarative,grad+subj+neg,nice,1
AP_10,67,M,B,13,bouquet,messy,sarcastic,grad+subj+neg,approve,0
AP_10,67,M,B,14,bouquet,messy,sarcastic,grad+subj+neg,mean,0
AP_10,67,M,B,15,bouquet,messy,sarcastic,grad+subj+neg,nice,2
AP_10,67,M,B,16,question,review,declarative,–grad–subj,approve,N/A
AP_10,67,M,B,17,question,review,declarative,–grad–subj,mean,N/A
AP_10,67,M,B,18,question,review,declarative,–grad–subj,nice,5
AP_10,67,M,B,19,dish,lobster,sarcastic,–grad–subj,approve,1
AP_10,67,M,B,20,dish,lobster,sarcastic,–grad–subj,mean,1
AP_10,67,M,B,21,dish,lobster,sarcastic,–grad–subj,nice,5
AP_10,67,M,B,22,shirt,lovely,declarative,grad+subj+pos,approve,1
AP_10,67,M,B,23,shirt,lovely,declarative,grad+subj+pos,mean,1
AP_10,67,M,B,24,shirt,lovely,declarative,grad+subj+pos,nice,5
AP_10,67,M,B,25,story,funny,sarcastic,grad+subj+pos,approve,1
AP_10,67,M,B,26,story,funny,sarcastic,grad+subj+pos,mean,1
AP_10,67,M,B,27,story,funny,sarcastic,grad+subj+pos,nice,5
AP_10,67,M,B,28,tool,useless,declarative,grad+subj+neg,approve,0
AP_10,67,M,B,29,tool,useless,declarative,grad+subj+neg,mean,0
AP_10,67,M,B,30,tool,useless,declarative,grad+subj+neg,nice,3
AP_10,67,M,B,31,hole,careless,sarcastic,grad+subj+neg,approve,0
AP_10,67,M,B,32,hole,careless,sarcastic,grad+subj+neg,mean,0
AP_10,67,M,B,33,hole,careless,sarcastic,grad+subj+neg,nice,3
AP_10,67,M,B,34,solution,partial,declarative,–grad–subj,approve,0
AP_10,67,M,B,35,solution,partial,declarative,–grad–subj,mean,0
AP_10,67,M,B,36,solution,partial,declarative,–grad–subj,nice,3
AP_10,67,M,B,37,novel,fiction,sarcastic,–grad–subj,approve,1
AP_10,67,M,B,38,novel,fiction,sarcastic,–grad–subj,mean,1
AP_10,67,M,B,39,novel,fiction,sarcastic,–grad–subj,nice,3
AP_10,67,M,B,40,video,witty,declarative,grad+subj+pos,approve,1
AP_10,67,M,B,41,video,witty,declarative,grad+subj+pos,mean,1
AP_10,67,M,B,42,video,witty,declarative,grad+subj+pos,nice,5
AP_15,74,F,B,1,book,n/a,declarative,training1 neg,approve,0
AP_15,74,F,B,2,book,n/a,declarative,training1 neg,mean,1
AP_15,74,F,B,3,book,n/a,declarative,training1 neg,nice,3
AP_15,74,F,B,4,recital,n/a,declarative,training2 pos,approve,1
AP_15,74,F,B,5,recital,n/a,declarative,training2 pos,mean,1
AP_15,74,F,B,6,recital,n/a,declarative,training2 pos,nice,4
AP_15,74,F,B,7,cake,yummy,sarcastic,grad+subj+pos,approve,1
AP_15,74,F,B,8,cake,yummy,sarcastic,grad+subj+pos,mean,N/A
AP_15,74,F,B,9,cake,yummy,sarcastic,grad+subj+pos,nice,3
AP_15,74,F,B,10,gift,awful,declarative,grad+subj+neg,approve,0
AP_15,74,F,B,11,gift,awful,declarative,grad+subj+neg,mean,1
AP_15,74,F,B,12,gift,awful,declarative,grad+subj+neg,nice,1
AP_15,74,F,B,13,bouquet,messy,sarcastic,grad+subj+neg,approve,0
AP_15,74,F,B,14,bouquet,messy,sarcastic,grad+subj+neg,mean,1
AP_15,74,F,B,15,bouquet,messy,sarcastic,grad+subj+neg,nice,1
AP_15,74,F,B,16,question,review,declarative,–grad–subj,approve,N/A
AP_15,74,F,B,17,question,review,declarative,–grad–subj,mean,1
AP_15,74,F,B,18,question,review,declarative,–grad–subj,nice,2
AP_15,74,F,B,19,dish,lobster,sarcastic,–grad–subj,approve,N/A
AP_15,74,F,B,20,dish,lobster,sarcastic,–grad–subj,mean,1
AP_15,74,F,B,21,dish,lobster,sarcastic,–grad–subj,nice,1
AP_15,74,F,B,22,shirt,lovely,declarative,grad+subj+pos,approve,1
AP_15,74,F,B,23,shirt,lovely,declarative,grad+subj+pos,mean,1
AP_15,74,F,B,24,shirt,lovely,declarative,grad+subj+pos,nice,5
