subject ID,list,trial_number,trial_object,trial_modifier,intonation,modifier_type,probe_type,response
223762,A,20,dish,lobster,declarative,–grad–subj,mean,2
223762,A,21,dish,lobster,declarative,–grad–subj,nice,2
223762,A,22,shirt,spotted,sarcastic,–grad–subj,approve,1
223762,A,23,shirt,spotted,sarcastic,–grad–subj,mean,2
223762,A,24,shirt,spotted,sarcastic,–grad–subj,nice,2
223762,A,25,story,funny,declarative,grad+subj+pos,approve,2
223762,A,26,story,funny,declarative,grad+subj+pos,mean,2
223762,A,27,story,funny,declarative,grad+subj+pos,nice,4
223762,A,28,tool,useful,sarcastic,grad+subj+pos,approve,1
223762,A,29,tool,useful,sarcastic,grad+subj+pos,mean,1
223762,A,30,tool,useful,sarcastic,grad+subj+pos,nice,2
223762,A,31,hole,careless,declarative,grad+subj+neg,approve,1
223762,A,32,hole,careless,declarative,grad+subj+neg,mean,2
223762,A,33,hole,careless,declarative,grad+subj+neg,nice,2
223762,A,34,solution,bossy,sarcastic,grad+subj+neg,approve,1
223762,A,35,solution,bossy,sarcastic,grad+subj+neg,mean,2
223762,A,36,solution,bossy,sarcastic,grad+subj+neg,nice,2
223762,A,37,novel,fiction,declarative,–grad–subj,approve,1
223762,A,38,novel,fiction,declarative,–grad–subj,mean,2
223762,A,39,novel,fiction,declarative,–grad–subj,nice,2
223762,A,40,video,tiktok,sarcastic,–grad–subj,approve,1
223762,A,41,video,tiktok,sarcastic,–grad–subj,mean,2
223762,A,42,video,tiktok,sarcastic,–grad–subj,nice,2
32554,A,1,book,n/a,declarative,training1 neg,approve,1
32554,A,2,book,n/a,declarative,training1 neg,mean,2
32554,A,3,book,n/a,declarative,training1 neg,nice,3
32554,A,4,recital,n/a,declarative,training2 pos,approve,2
32554,A,5,recital,n/a,declarative,training2 pos,mean,2
32554,A,6,recital,n/a,declarative,training2 pos,nice,1
32554,A,7,cake,yummy,declarative,grad+subj+pos,approve,2
32554,A,8,cake,yummy,declarative,grad+subj+pos,mean,2
32554,A,9,cake,yummy,declarative,grad+subj+pos,nice,5
32554,A,10,gift,awesome,sarcastic,grad+subj+pos,approve,2
32554,A,11,gift,awesome,sarcastic,grad+subj+pos,mean,2
32554,A,12,gift,awesome,sarcastic,grad+subj+pos,nice,5
32554,A,13,bouquet,messy,declarative,grad+subj+neg,approve,1
32554,A,14,bouquet,messy,declarative,grad+subj+neg,mean,2
32554,A,15,bouquet,messy,declarative,grad+subj+neg,nice,1
32554,A,16,question,silly,sarcastic,grad+subj+neg,approve,1
32554,A,17,question,silly,sarcastic,grad+subj+neg,mean,2
32554,A,18,question,silly,sarcastic,grad+subj+neg,nice,2
32554,A,19,dish,lobster,declarative,–grad–subj,approve,1
32554,A,20,dish,lobster,declarative,–grad–subj,mean,2
32554,A,21,dish,lobster,declarative,–grad–subj,nice,2
32554,A,22,shirt,spotted,sarcastic,–grad–subj,approve,1
32554,A,23,shirt,spotted,sarcastic,–grad–subj,mean,2
32554,A,24,shirt,spotted,sarcastic,–grad–subj,nice,2
32554,A,25,story,funny,declarative,grad+subj+pos,approve,2
32554,A,26,story,funny,declarative,grad+subj+pos,mean,2
32554,A,27,story,funny,declarative,grad+subj+pos,nice,4
32554,A,28,tool,useful,sarcastic,grad+subj+pos,approve,1
32554,A,29,tool,useful,sarcastic,grad+subj+pos,mean,1
32554,A,30,tool,useful,sarcastic,grad+subj+pos,nice,2
32554,A,31,hole,careless,declarative,grad+subj+neg,approve,1
32554,A,32,hole,careless,declarative,grad+subj+neg,mean,2
32554,A,33,hole,careless,declarative,grad+subj+neg,nice,1
32554,A,34,solution,bossy,sarcastic,grad+subj+neg,approve,1
32554,A,35,solution,bossy,sarcastic,grad+subj+neg,mean,2
32554,A,36,solution,bossy,sarcastic,grad+subj+neg,nice,2
