"","response","intonation","modifier_type","subject.ID","trial_object","probe_type","trial_modifier","group"
"79","4","declarative","grad+subj+pos","31942","story","nice","funny","adults"
"80","3","sarcastic","grad+subj+pos","31942","tool","nice","useful","adults"
"81","2","declarative","grad+subj+neg","31942","hole","nice","careless","adults"
"82","4","sarcastic","grad+subj+neg","31942","solution","nice","bossy","adults"
"83","3","declarative","–grad–subj","31942","novel","nice","fiction","adults"
"84","2","sarcastic","–grad–subj","31942","video","nice","tiktok","adults"
"85","4","declarative","grad+subj+pos","33073","cake","nice","yummy","adults"
"86","5","sarcastic","grad+subj+pos","33073","gift","nice","awesome","adults"
"87","2","declarative","grad+subj+neg","33073","bouquet","nice","messy","adults"
"88","2","sarcastic","grad+subj+neg","33073","question","nice","silly","adults"
"89","3","declarative","–grad–subj","33073","dish","nice","lobster","adults"
"90","2","sarcastic","–grad–subj","33073","shirt","nice","spotted","adults"
"91","4","declarative","grad+subj+pos","33073","story","nice","funny","adults"
"92","1","sarcastic","grad+subj+pos","33073","tool","nice","useful","adults"
"93","2","declarative","grad+subj+neg","33073","hole","nice","careless","adults"
"94","2","sarcastic","grad+subj+neg","33073","solution","nice","bossy","adults"
"95","3","declarative","–grad–subj","33073","novel","nice","fiction","adults"
"96","1","sarcastic","–grad–subj","33073","video","nice","tiktok","adults"
"97","5","declarative","grad+subj+pos","30379","cake","nice","yummy","adults"
"98","5","sarcastic","grad+subj+pos","30379","gift","nice","awesome","adults"
"99","2","declarative","grad+subj+neg","30379","bouquet","nice","messy","adults"
"100","4","sarcastic","grad+subj+neg","30379","question","nice","silly","adults"
"101","3","declarative","–grad–subj","30379","dish","nice","lobster","adults"
"102","3","sarcastic","–grad–subj","30379","shirt","nice","spotted","adults"
"103","5","declarative","grad+subj+pos","30379","story","nice","funny","adults"
"104","5","sarcastic","grad+subj+pos","30379","tool","nice","useful","adults"
"105","2","declarative","grad+subj+neg","30379","hole","nice","careless","adults"
"106","2","sarcastic","grad+subj+neg","30379","solution","nice","bossy","adults"
"107","3","declarative","–grad–subj","30379","novel","nice","fiction","adults"
"108","3","sarcastic","–grad–subj","30379","video","nice","tiktok","adults"
"109","4","declarative","grad+subj+pos","28267","cake","nice","yummy","adults"
"110","2","sarcastic","grad+subj+pos","28267","gift","nice","awesome","adults"
"111","1","declarative","grad+subj+neg","28267","bouquet","nice","messy","adults"
"112","2","sarcastic","grad+subj+neg","28267","question","nice","silly","adults"
"113","3","declarative","–grad–subj","28267","dish","nice","lobster","adults"
"114","3","sarcastic","–grad–subj","28267","shirt","nice","spotted","adults"
"115","4","declarative","grad+subj+pos","28267","story","nice","funny","adults"
"116","5","sarcastic","grad+subj+pos","28267","tool","nice","useful","adults"
"117","2","declarative","grad+subj+neg","28267","hole","nice","careless","adults"
"118","1","sarcastic","grad+subj+neg","28267","solution","nice","bossy","adults"
"119","2","declarative","–grad–subj","28267","novel","nice","fiction","adults"
"120","2","sarcastic","–grad–subj","28267","video","nice","tiktok","adults"
"121","5","declarative","grad+subj+pos","26122","cake","nice","yummy","adults"
"122","5","sarcastic","grad+subj+pos","26122","gift","nice","awesome","adults"
"123","2","declarative","grad+subj+neg","26122","bouquet","nice","messy","adults"
"124","3","sarcastic","grad+subj+neg","26122","question","nice","silly","adults"
"125","3","declarative","–grad–subj","26122","dish","nice","lobster","adults"
"126","1","sarcastic","–grad–subj","26122","shirt","nice","spotted","adults"
"127","3","declarative","grad+subj+pos","26122","story","nice","funny","adults"
"128","3","sarcastic","grad+subj+pos","26122","tool","nice","useful","adults"
"129","2","declarative","grad+subj+neg","26122","hole","nice","careless","adults"
"130","3","sarcastic","grad+subj+neg","26122","solution","nice","bossy","adults"
"131","3","declarative","–grad–subj","26122","novel","nice","fiction","adults"
"132","2","sarcastic","–grad–subj","26122","video","nice","tiktok","adults"
"133","5","declarative","grad+subj+pos","30634","cake","nice","yummy","adults"
"134","2","sarcastic","grad+subj+pos","30634","gift","nice","awesome","adults"
"135","2","declarative","grad+subj+neg","30634","bouquet","nice","messy","adults"
"136","4","sarcastic","grad+subj+neg","30634","question","nice","silly","adults"
"137","3","declarative","–grad–subj","30634","dish","nice","lobster","adults"
"138","3","sarcastic","–grad–subj","30634","shirt","nice","spotted","adults"
"139","4","declarative","grad+subj+pos","30634","story","nice","funny","adults"
"140","4","sarcastic","grad+subj+pos","30634","tool","nice","useful","adults"
"141","1","declarative","grad+subj+neg","30634","hole","nice","careless","adults"
"142","2","sarcastic","grad+subj+neg","30634","solution","nice","bossy","adults"
"143","3","declarative","–grad–subj","30634","novel","nice","fiction","adults"
"144","2","sarcastic","–grad–subj","30634","video","nice","tiktok","adults"
"145","4","declarative","grad+subj+pos","27922","cake","nice","yummy","adults"
"146","3","sarcastic","grad+subj+pos","27922","gift","nice","awesome","adults"
"147","2","declarative","grad+subj+neg","27922","bouquet","nice","messy","adults"
"148","3","sarcastic","grad+subj+neg","27922","question","nice","silly","adults"
"149","2","declarative","–grad–subj","27922","dish","nice","lobster","adults"
"150","4","sarcastic","–grad–subj","27922","shirt","nice","spotted","adults"
"151","5","declarative","grad+subj+pos","27922","story","nice","funny","adults"
"152","2","sarcastic","grad+subj+pos","27922","tool","nice","useful","adults"
"153","3","declarative","grad+subj+neg","27922","hole","nice","careless","adults"
"154","2","sarcastic","grad+subj+neg","27922","solution","nice","bossy","adults"
"155","3","declarative","–grad–subj","27922","novel","nice","fiction","adults"
"156","2","sarcastic","–grad–subj","27922","video","nice","tiktok","adults"
"157","4","declarative","grad+subj+pos","26749","cake","nice","yummy","adults"
"158","2","sarcastic","grad+subj+pos","26749","gift","nice","awesome","adults"
"159","2","declarative","grad+subj+neg","26749","bouquet","nice","messy","adults"
"160","2","sarcastic","grad+subj+neg","26749","question","nice","silly","adults"
"161","3","declarative","–grad–subj","26749","dish","nice","lobster","adults"
"162","2","sarcastic","–grad–subj","26749","shirt","nice","spotted","adults"
"163","5","declarative","grad+subj+pos","26749","story","nice","funny","adults"
"164","2","sarcastic","grad+subj+pos","26749","tool","nice","useful","adults"
"165","2","declarative","grad+subj+neg","26749","hole","nice","careless","adults"
"166","3","sarcastic","grad+subj+neg","26749","solution","nice","bossy","adults"
"167","4","declarative","–grad–subj","26749","novel","nice","fiction","adults"
"168","2","sarcastic","–grad–subj","26749","video","nice","tiktok","adults"
"169","5","declarative","grad+subj+pos","31666","cake","nice","yummy","adults"
"170","4","sarcastic","grad+subj+pos","31666","gift","nice","awesome","adults"
"171","2","declarative","grad+subj+neg","31666","bouquet","nice","messy","adults"
"172","2","sarcastic","grad+subj+neg","31666","question","nice","silly","adults"
"173","3","declarative","–grad–subj","31666","dish","nice","lobster","adults"
"174","3","sarcastic","–grad–subj","31666","shirt","nice","spotted","adults"
"175","3","declarative","grad+subj+pos","31666","story","nice","funny","adults"
"176","4","sarcastic","grad+subj+pos","31666","tool","nice","useful","adults"
"177","2","declarative","grad+subj+neg","31666","hole","nice","careless","adults"
"178","3","sarcastic","grad+subj+neg","31666","solution","nice","bossy","adults"
"179","3","declarative","–grad–subj","31666","novel","nice","fiction","adults"
"180","2","sarcastic","–grad–subj","31666","video","nice","tiktok","adults"
"181","4","declarative","grad+subj+pos","32257","cake","nice","yummy","adults"
"182","2","sarcastic","grad+subj+pos","32257","gift","nice","awesome","adults"
"183","1","declarative","grad+subj+neg","32257","bouquet","nice","messy","adults"
"184","3","sarcastic","grad+subj+neg","32257","question","nice","silly","adults"
"185","3","declarative","–grad–subj","32257","dish","nice","lobster","adults"
"186","3","sarcastic","–grad–subj","32257","shirt","nice","spotted","adults"
"187","4","declarative","grad+subj+pos","32257","story","nice","funny","adults"
