"","response","intonation","modifier_type","subject.ID","trial_object","probe_type","trial_modifier","group"
"1","1","declarative","grad+subj+pos","31876","cake","mean","yummy","adults"
"2","0","sarcastic","grad+subj+pos","31876","gift","mean","awesome","adults"
"3","1","declarative","grad+subj+neg","31876","bouquet","mean","messy","adults"
"4","1","sarcastic","grad+subj+neg","31876","question","mean","silly","adults"
"5","1","declarative","–grad–subj","31876","dish","mean","lobster","adults"
"6","1","sarcastic","–grad–subj","31876","shirt","mean","spotted","adults"
"7","1","declarative","grad+subj+pos","31876","story","mean","funny","adults"
"8","1","sarcastic","grad+subj+pos","31876","tool","mean","useful","adults"
"9","0","declarative","grad+subj+neg","31876","hole","mean","careless","adults"
"10","0","sarcastic","grad+subj+neg","31876","solution","mean","bossy","adults"
"11","1","declarative","–grad–subj","31876","novel","mean","fiction","adults"
"12","0","sarcastic","–grad–subj","31876","video","mean","tiktok","adults"
"13","1","declarative","grad+subj+pos","28963","cake","mean","yummy","adults"
"14","0","sarcastic","grad+subj+pos","28963","gift","mean","awesome","adults"
"15","1","declarative","grad+subj+neg","28963","bouquet","mean","messy","adults"
"16","1","sarcastic","grad+subj+neg","28963","question","mean","silly","adults"
"17","1","declarative","–grad–subj","28963","dish","mean","lobster","adults"
"18","1","sarcastic","–grad–subj","28963","shirt","mean","spotted","adults"
"19","1","declarative","grad+subj+pos","28963","story","mean","funny","adults"
"20","0","sarcastic","grad+subj+pos","28963","tool","mean","useful","adults"
"21","1","declarative","grad+subj+neg","28963","hole","mean","careless","adults"
"22","1","sarcastic","grad+subj+neg","28963","solution","mean","bossy","adults"
"23","1","declarative","–grad–subj","28963","novel","mean","fiction","adults"
"24","1","sarcastic","–grad–subj","28963","video","mean","tiktok","adults"
"25","1","declarative","grad+subj+pos","223762","cake","mean","yummy","adults"
"26","0","sarcastic","grad+subj+pos","223762","gift","mean","awesome","adults"
"27","1","declarative","grad+subj+neg","223762","bouquet","mean","messy","adults"
"28","0","sarcastic","grad+subj+neg","223762","question","mean","silly","adults"
"29","1","declarative","–grad–subj","223762","dish","mean","lobster","adults"
"30","1","sarcastic","–grad–subj","223762","shirt","mean","spotted","adults"
"31","1","declarative","grad+subj+pos","223762","story","mean","funny","adults"
"32","0","sarcastic","grad+subj+pos","223762","tool","mean","useful","adults"
"33","1","declarative","grad+subj+neg","223762","hole","mean","careless","adults"
"34","1","sarcastic","grad+subj+neg","223762","solution","mean","bossy","adults"
"35","1","declarative","–grad–subj","223762","novel","mean","fiction","adults"
"36","1","sarcastic","–grad–subj","223762","video","mean","tiktok","adults"
"37","1","declarative","grad+subj+pos","32554","cake","mean","yummy","adults"
"38","1","sarcastic","grad+subj+pos","32554","gift","mean","awesome","adults"
"39","1","declarative","grad+subj+neg","32554","bouquet","mean","messy","adults"
"40","1","sarcastic","grad+subj+neg","32554","question","mean","silly","adults"
"41","1","declarative","–grad–subj","32554","dish","mean","lobster","adults"
"42","1","sarcastic","–grad–subj","32554","shirt","mean","spotted","adults"
"43","1","declarative","grad+subj+pos","32554","story","mean","funny","adults"
"44","0","sarcastic","grad+subj+pos","32554","tool","mean","useful","adults"
"45","1","declarative","grad+subj+neg","32554","hole","mean","careless","adults"
"46","1","sarcastic","grad+subj+neg","32554","solution","mean","bossy","adults"
"47","1","declarative","–grad–subj","32554","novel","mean","fiction","adults"
"48","1","sarcastic","–grad–subj","32554","video","mean","tiktok","adults"
"49","1","declarative","grad+subj+pos","31693","cake","mean","yummy","adults"
"50","1","sarcastic","grad+subj+pos","31693","gift","mean","awesome","adults"
"51","1","declarative","grad+subj+neg","31693","bouquet","mean","messy","adults"
"52","1","sarcastic","grad+subj+neg","31693","question","mean","silly","adults"
"53","0","declarative","–grad–subj","31693","dish","mean","lobster","adults"
"54","0","sarcastic","–grad–subj","31693","shirt","mean","spotted","adults"
"55","1","declarative","grad+subj+pos","31693","story","mean","funny","adults"
"56","1","sarcastic","grad+subj+pos","31693","tool","mean","useful","adults"
"57","0","declarative","grad+subj+neg","31693","hole","mean","careless","adults"
"58","0","sarcastic","grad+subj+neg","31693","solution","mean","bossy","adults"
"59","0","declarative","–grad–subj","31693","novel","mean","fiction","adults"
"60","0","sarcastic","–grad–subj","31693","video","mean","tiktok","adults"
"61","0","declarative","grad+subj+pos","27292","cake","mean","yummy","adults"
"62","1","sarcastic","grad+subj+pos","27292","gift","mean","awesome","adults"
"63","0","declarative","grad+subj+neg","27292","bouquet","mean","messy","adults"
"64","1","sarcastic","grad+subj+neg","27292","question","mean","silly","adults"
"65","1","declarative","–grad–subj","27292","dish","mean","lobster","adults"
"66","1","sarcastic","–grad–subj","27292","shirt","mean","spotted","adults"
"67","1","declarative","grad+subj+pos","27292","story","mean","funny","adults"
"68","0","sarcastic","grad+subj+pos","27292","tool","mean","useful","adults"
"69","0","declarative","grad+subj+neg","27292","hole","mean","careless","adults"
"70","0","sarcastic","grad+subj+neg","27292","solution","mean","bossy","adults"
"71","0","declarative","–grad–subj","27292","novel","mean","fiction","adults"
"72","0","sarcastic","–grad–subj","27292","video","mean","tiktok","adults"
"73","1","declarative","grad+subj+pos","31942","cake","mean","yummy","adults"
"74","0","sarcastic","grad+subj+pos","31942","gift","mean","awesome","adults"
"75","1","declarative","grad+subj+neg","31942","bouquet","mean","messy","adults"
"76","0","sarcastic","grad+subj+neg","31942","question","mean","silly","adults"
"77","1","declarative","–grad–subj","31942","dish","mean","lobster","adults"
"78","0","sarcastic","–grad–subj","31942","shirt","mean","spotted","adults"
"79","1","declarative","grad+subj+pos","31942","story","mean","funny","adults"
"80","0","sarcastic","grad+subj+pos","31942","tool","mean","useful","adults"
"81","1","declarative","grad+subj+neg","31942","hole","mean","careless","adults"
"82","0","sarcastic","grad+subj+neg","31942","solution","mean","bossy","adults"
"83","1","declarative","–grad–subj","31942","novel","mean","fiction","adults"
"84","0","sarcastic","–grad–subj","31942","video","mean","tiktok","adults"
"85","1","declarative","grad+subj+pos","33073","cake","mean","yummy","adults"
"86","0","sarcastic","grad+subj+pos","33073","gift","mean","awesome","adults"
"87","1","declarative","grad+subj+neg","33073","bouquet","mean","messy","adults"
"88","1","sarcastic","grad+subj+neg","33073","question","mean","silly","adults"
"89","1","declarative","–grad–subj","33073","dish","mean","lobster","adults"
"90","1","sarcastic","–grad–subj","33073","shirt","mean","spotted","adults"
"91","1","declarative","grad+subj+pos","33073","story","mean","funny","adults"
"92","0","sarcastic","grad+subj+pos","33073","tool","mean","useful","adults"
"93","1","declarative","grad+subj+neg","33073","hole","mean","careless","adults"
"94","1","sarcastic","grad+subj+neg","33073","solution","mean","bossy","adults"
"95","1","declarative","–grad–subj","33073","novel","mean","fiction","adults"
"96","1","sarcastic","–grad–subj","33073","video","mean","tiktok","adults"
"97","1","declarative","grad+subj+pos","30379","cake","mean","yummy","adults"
"98","1","sarcastic","grad+subj+pos","30379","gift","mean","awesome","adults"
"99","1","declarative","grad+subj+neg","30379","bouquet","mean","messy","adults"
"100","1","sarcastic","grad+subj+neg","30379","question","mean","silly","adults"
"101","1","declarative","–grad–subj","30379","dish","mean","lobster","adults"
"102","1","sarcastic","–grad–subj","30379","shirt","mean","spotted","adults"
"103","1","declarative","grad+subj+pos","30379","story","mean","funny","adults"
"104","1","sarcastic","grad+subj+pos","30379","tool","mean","useful","adults"
"105","1","declarative","grad+subj+neg","30379","hole","mean","careless","adults"
"106","1","sarcastic","grad+subj+neg","30379","solution","mean","bossy","adults"
"107","1","declarative","–grad–subj","30379","novel","mean","fiction","adults"
