"","response","intonation","modifier_type","subject.ID","trial_object","probe_type","trial_modifier","group"
"1","1","declarative","grad+subj+pos","31876","cake","approve","yummy","adults"
"2","0","sarcastic","grad+subj+pos","31876","gift","approve","awesome","adults"
"3","0","declarative","grad+subj+neg","31876","bouquet","approve","messy","adults"
"4","0","sarcastic","grad+subj+neg","31876","question","approve","silly","adults"
"5","0","declarative","–grad–subj","31876","dish","approve","lobster","adults"
"6","0","sarcastic","–grad–subj","31876","shirt","approve","spotted","adults"
"7","1","declarative","grad+subj+pos","31876","story","approve","funny","adults"
"8","1","sarcastic","grad+subj+pos","31876","tool","approve","useful","adults"
"9","0","declarative","grad+subj+neg","31876","hole","approve","careless","adults"
"10","0","sarcastic","grad+subj+neg","31876","solution","approve","bossy","adults"
"11","0","declarative","–grad–subj","31876","novel","approve","fiction","adults"
"12","0","sarcastic","–grad–subj","31876","video","approve","tiktok","adults"
"13","1","declarative","grad+subj+pos","28963","cake","approve","yummy","adults"
"14","0","sarcastic","grad+subj+pos","28963","gift","approve","awesome","adults"
"15","0","declarative","grad+subj+neg","28963","bouquet","approve","messy","adults"
"16","0","sarcastic","grad+subj+neg","28963","question","approve","silly","adults"
"17","0","declarative","–grad–subj","28963","dish","approve","lobster","adults"
"18","0","sarcastic","–grad–subj","28963","shirt","approve","spotted","adults"
"19","1","declarative","grad+subj+pos","28963","story","approve","funny","adults"
"20","0","sarcastic","grad+subj+pos","28963","tool","approve","useful","adults"
"21","0","declarative","grad+subj+neg","28963","hole","approve","careless","adults"
"22","0","sarcastic","grad+subj+neg","28963","solution","approve","bossy","adults"
"23","0","declarative","–grad–subj","28963","novel","approve","fiction","adults"
"24","0","sarcastic","–grad–subj","28963","video","approve","tiktok","adults"
"25","1","declarative","grad+subj+pos","223762","cake","approve","yummy","adults"
"26","0","sarcastic","grad+subj+pos","223762","gift","approve","awesome","adults"
"27","0","declarative","grad+subj+neg","223762","bouquet","approve","messy","adults"
"28","1","sarcastic","grad+subj+neg","223762","question","approve","silly","adults"
"29","0","declarative","–grad–subj","223762","dish","approve","lobster","adults"
